CPF rév. 2.1, 2015 - Niveau 6 - Liste des sous-catégories;
20.30.11;Peintures et vernis à base de polymères acryliques ou vinyliques, en phase aqueuse
20.30.12;"Peintures et vernis à base de polyesters et de polymères acryliques ou vinyliques, en milieu non aqueux ; solutions"
20.30.21;"Pigments, opacifiants et couleurs préparés, compositions vitrifiables, engobes, lustres liquides et préparations similaires ; frittes de verres"
20.30.22;"Autres peintures et vernis ; siccatifs préparés"
20.30.23;Couleurs fines pour la peinture artistique, l'enseignement, la peinture des enseignes, la modification des nuances, l'amusement et couleurs similaires
20.30.24;Encres d'imprimerie
20.30.99;Opérations sous-traitées intervenant dans la fabrication de peintures, vernis et revêtements similaires, encres d'imprimerie et mastics
20.41.10;Glycérine
20.41.20;Agents tensioactifs, à l'exclusion du savon
20.41.31;"Savons, produits et préparations tensioactifs à usage de savon ; papier, ouates, feutres et non-tissés, imprégnés, enduits ou recouverts de savon ou de détergents"
20.41.32;Détergents et produits de nettoyage
20.41.41;Préparations pour parfumer et désodoriser des locaux
20.41.42;Cires artificielles et préparées
20.41.43;Cirages et crèmes pour chaussures, encaustiques, brillants pour carrosseries, verre ou métaux
20.41.44;Pâtes et poudres à récurer et préparations similaires
20.41.99;Opérations sous-traitées intervenant dans la fabrication de savons, détergents et produits d'entretien
20.42.11;Parfums et eaux de toilette
20.42.12;Produits pour les lèvres et les yeux
20.42.13;Préparations pour manucures et pédicures
20.42.14;Poudres, fards, fonds de teint
20.42.15;Produits de beauté, de maquillage et de soin de la peau (y compris les préparations solaires) n.c.a.
20.42.16;Shampooings, laques pour cheveux, produits pour permanentes et défrisage
20.42.17;Lotions et autres préparations capillaires n.c.a.
20.42.18;Préparation pour l'hygiène buccale ou dentaire (y compris les poudres et crèmes pour faciliter l'adhérence des dentiers), fil dentaire
20.42.19;"Préparations pour le rasage ; déodorants corporels et produits antisudoraux ; préparations pour bains ; autres produits cosmétiques, de parfumerie ou de toilette n.c.a."
20.42.99;Opérations sous-traitées intervenant dans la fabrication de parfums et de produits pour la toilette
20.51.11;Poudres propulsives et produits explosifs préparés
20.51.12;"Mèches de sûreté ; cordeaux détonants, capsules fulminantes ; allumeurs ; détonateurs électriques"
20.51.13;Feux d'artifice
20.51.14;Fusées de signalisation ou paragrêle, pétards et autres articles de pyrotechnie, à l'exclusion des feux d'artifice
20.51.20;Allumettes
20.51.99;Opérations sous-traitées intervenant dans la fabrication de produits explosifs
20.52.10;Colles
20.52.99;Opérations sous-traitées intervenant dans la fabrication de colles
20.53.10;Huiles essentielles
20.53.99;Opérations sous-traitées intervenant dans la fabrication d'huiles essentielles
20.59.11;"Plaques et films photographiques et films à développement instantané, sensibilisés, non exposés ; papiers photographiques"
20.59.12;"Émulsions sensibilisatrices pour usages photographiques ; préparations chimiques pour usages photographiques n.c.a."
20.59.20;"Graisses et huiles animales ou végétales modifiées chimiquement ; mélanges non comestibles de graisses et d'huiles animales ou végétales"
20.59.30;Encres de bureau et de dessin et autres encres
20.59.41;Lubrifiants spéciaux
20.59.42;"Préparations antidétonantes ; additifs pour huiles minérales et produits similaires"
20.59.43;"Liquides pour freins hydrauliques ; préparations antigel et pour dégivrage"
20.59.51;"Peptones, autres substances peptiques et dérivés n.c.a. ; poudre de peaux"
20.59.52;"Pâtes à modeler ; cire dentaire et autres préparations pour l'art dentaire à base de plâtre ; préparations et charges pour extincteurs ; milieux de culture ; réactifs composites de diagnostic ou de laboratoire n.c.a."
20.59.53;Éléments chimiques dopés en vue de leur utilisation en électronique, sous forme de disques et de composés
20.59.54;Charbons actifs
20.59.55;Agents d'apprêt ou de finissage, accélérateurs de teinture ou de fixation de matières colorantes et autres produits similaires
20.59.56;"Préparations pour le décapage ; flux à souder ou à braser ; accélérateurs de vulcanisation ; plastifiants et stabilisateurs composites pour caoutchouc ou matières plastiques ; préparations catalytiques n.c.a. ; alkylbenzènes et alkylnaphtalènes en mélanges n.c.a."
20.59.57;"Liants préparés pour moules ou noyaux de fonderie ; produits chimiques"
20.59.58;Biodiesel
20.59.59;Autres produits chimiques divers n.c.a.
20.59.60;Gélatines et leurs dérivés, y compris lactalbumines
20.59.99;Opérations sous-traitées intervenant dans l'élaboration d'autres produits chimiques n.c.a.
20.60.11;Fibres synthétiques discontinues, non cardées, ni peignées et câbles de filaments synthétiques
20.60.12;Fils de filaments de haute ténacité en polyamides et polyesters
20.60.13;Autres fils de monofilaments synthétiques
20.60.14;"Monofilaments synthétiques ; lames en matières textiles synthétiques"
20.60.21;Fibres artificielles discontinues, non cardées, ni peignées et câbles de filaments artificiels
20.60.22;Fils de filaments de haute ténacité en viscose
20.60.23;Autres fils de monofilaments artificiels
20.60.24;"Monofilaments artificiels ; lames en matières textiles artificielles"
20.60.99;Opérations sous-traitées intervenant dans la fabrication de fibres artificielles ou synthétiques
21.10.10;Acide salicylique et ses dérivés, sels et esters
21.10.20;"Lysine, acide glutamique et leurs sels ; sels et hydroxydes d'ammonium quaternaire ; phosphoaminolipides ; amides et leurs dérivés et sels"
21.10.31;"Lactones n.c.a., composés hétérocycliques à hétéroatome(s) d'azote exclusivement, dont la structure comporte un cycle pyrazole non condensé, un cycle pyrimydine, un cycle pipérazine, un cycle triazine non condensé ou des cycles phénotiazine sans autres condensations ; hydantoïne et ses dérivés"
21.10.32;Sulfonamides
21.10.40;"Sucres chimiquement purs, n.c.a. ; éthers et esters de sucre et leurs sels n.c.a."
21.10.51;Provitamines, vitamines et leurs dérivés
21.10.52;"Hormones et leurs dérivés ; autres stéroïdes utilisés principalement comme hormones"
21.10.53;Glycosides, alcaloïdes d'origine végétale et leurs sels, éthers, esters et autres dérivés
21.10.54;Antibiotiques
21.10.60;"Glandes et autres organes ; extraits de glandes ou d'autres organes et autres substances humaines ou animales n.c.a."
21.10.99;Opérations sous-traitées intervenant dans la fabrication de produits pharmaceutiques de base
21.20.11;Médicaments contenant des pénicillines ou d'autres antibiotiques
21.20.12;Médicaments contenant des hormones, mais pas d'antibiotiques
21.20.13;Médicaments contenant des alcaloïdes ou leurs dérivés, mais ne contenant ni hormones ni antibiotiques
21.20.21;Sérums et vaccins
21.20.22;Préparations chimiques contraceptives à base d'hormones ou de spermicides
21.20.23;Réactifs de diagnostic et autres préparations pharmaceutiques
21.20.24;"Pansements adhésifs, catguts et matériels similaires ; trousses de première urgence"
21.20.99;Opérations sous-traitées intervenant dans la fabrication de préparations pharmaceutiques
22.11.11;Pneumatiques neufs, pour voitures de tourisme
22.11.12;Pneumatiques neufs, pour cycles et motocycles
22.11.13;Pneumatiques neufs, pour camions, autocars et avions
22.11.14;"Pneumatiques pour tracteurs ; autres pneumatiques neufs"
22.11.15;Chambres à air, bandages, bandes de roulement amovibles et flaps, en caoutchouc
22.11.16;Profilés pour le rechapage
22.11.20;Pneumatiques rechapés
22.11.99;"Opérations sous-traitées intervenant dans la fabrication de pneumatiques ; rechapage et resculptage de pneumatiques"
22.19.10;Caoutchouc régénéré sous formes primaires ou en plaques, feuilles ou bandes
22.19.20;"Caoutchouc non vulcanisé et articles en caoutchouc vulcanisé ; caoutchouc vulcanisé non durci en fils, cordes, plaques, feuilles, bandes, baguettes et profilés"
22.19.30;Tubes et tuyaux en caoutchouc vulcanisé non durci
22.19.40;Bandes transporteuses et courroies de transmission en caoutchouc vulcanisé
22.19.50;Tissus caoutchoutés, à l'exclusion des toiles à pneu
22.19.60;Vêtements et accessoires de l'habillement en caoutchouc vulcanisé non durci
22.19.71;Articles d'hygiène ou de pharmacie (y compris les tétines) en caoutchouc vulcanisé non durci
22.19.72;Revêtements de sol et tapis en caoutchouc vulcanisé non alvéolaire
22.19.73;"Autres articles en caoutchouc vulcanisé n.c.a. ; caoutchouc durci sous toutes formes et articles en caoutchouc durci ; revêtements de sol et tapis en caoutchouc vulcanisé alvéolaire"
22.19.99;Opérations sous-traitées intervenant dans la fabrication d'autres produits en caoutchouc
22.21.10;Monofilaments supérieurs à 1 mm, joncs, bâtons et profilés, en matières plastiques
22.21.21;"Boyaux artificiels en protéines durcies ou en matières cellulosiques ; tubes et tuyaux rigides en matières plastiques"
22.21.29;Autres tubes et tuyaux et leurs accessoires, en matières plastiques
22.21.30;Plaques, feuilles, films, bandes et lames, en matières plastiques, non munies d'un support, ni associées à d'autres matières
22.21.41;Autres plaques, feuilles, films, bandes et lames en matières plastiques alvéolaires
22.21.42;Autres plaques, feuilles, films, bandes et lames en matières plastiques non alvéolaires
22.21.99;Opérations sous-traitées intervenant dans la fabrication de plaques, feuilles, tubes et profilés en matières plastiques
22.22.11;Sacs, sachets, pochettes et cornets en polymères de l'éthylène
22.22.12;Sacs, sachets, pochettes et cornets en autres matières plastiques
22.22.13;Boîtes, caisses, casiers et articles similaires en matières plastiques
22.22.14;Bonbonnes, bouteilles, flacons et articles similaires en matières plastiques
22.22.19;Autres emballages en matières plastiques
22.22.99;Opérations sous-traitées intervenant dans la fabrication d'emballages en matières plastiques
22.23.11;Revêtements en matières plastiques, en rouleaux ou en dalles
22.23.12;Baignoires, lavabos, cuvettes d'aisance et leurs sièges et couvercles, réservoirs de chasse d'eau et articles similaires en matières plastiques
22.23.13;Réservoirs, foudres, cuves et récipients analogues, d'une contenance supérieure à 300 l, en matières plastiques
22.23.14;"Portes, fenêtres et huisseries ; volets, stores et articles similaires, et leurs parties, en matières plastiques"
22.23.15;Linoléum et revêtements de sol durs à surface non plastique, revêtements de sol résilients tels que vinyle, linoléum, etc.
22.23.19;Éléments en matières plastiques pour la construction n.c.a.
22.23.20;Constructions préfabriquées en matières plastiques
22.23.99;Opérations sous-traitées intervenant dans la fabrication d'éléments en matières plastiques pour la construction
22.29.10;Vêtements et accessoires de l'habillement (y compris gants) en matières plastiques
22.29.21;Plaques, feuilles, bandes, rubans, pellicules et autres formes plates, auto-adhésifs, en matières plastiques, en rouleaux d'une largeur inférieure ou égale à 20 cm
22.29.22;Autres plaques, feuilles, bandes, rubans, pellicules et autres formes plates, auto-adhésifs, en matières plastiques
22.29.23;Articles de table et de cuisine, autres articles ménagers et de toilette, en matières plastiques
22.29.24;Parties n.c.a. d'appareils d'éclairage, enseignes, panneaux lumineux, en matières plastiques
22.29.25;Articles scolaires et de bureau en matières plastiques
22.29.26;"Garnitures pour meubles, carrosseries ou similaires ; statuettes et autres objets d'ornement en matières plastiques"
22.29.29;Autres articles en matières plastiques
22.29.91;Façons de travail des matières plastiques
22.29.99;Opérations sous-traitées intervenant dans la fabrication d'autres produits en matières plastiques
23.11.11;Verre coulé, étiré ou soufflé, en feuilles, mais non travaillé
23.11.12;Verre flotté et verre douci ou poli, en feuilles, mais non travaillé
23.11.99;Opérations sous-traitées intervenant dans la fabrication de verre plat
23.12.11;Verre plat, biseauté, gravé, percé, émaillé ou autrement travaillé, mais non encadré ni monté
23.12.12;Verre de sécurité
23.12.13;"Miroirs en verre ; vitrages isolants à parois multiples"
23.12.99;Opérations sous-traitées intervenant dans la fabrication de verre plat travaillé
23.13.11;"Bouteilles, bocaux, flacons et autres récipients en verre, à l'exclusion des ampoules ; bouchons, couvercles et autres dispositifs de fermeture, en verre"
23.13.12;Verres à boire autres qu'en vitrocérame
23.13.13;Verrerie domestique, objets en verre pour la toilette ou le bureau, objets décoratifs d'intérieur
23.13.14;Ampoules en verre pour bouteilles isolantes ou pour autres récipients isolants
23.13.91;Façonnage de verres à boire et d'autres articles de verrerie domestique
23.13.92;Façonnage de récipients en verre
23.13.99;Opérations sous-traitées intervenant dans la fabrication de verre creux
23.14.11;Mèches, stratifils (rovings) et fils, coupés ou non, en fibres de verre
23.14.12;Voiles, nappes, mats, matelas, panneaux et autres produits en fibres de verre, à l'exclusion des produits tissés
23.14.99;Opérations sous-traitées intervenant dans la fabrication de fibres de verre
23.19.11;Verre en masse, en billes (à l'exclusion des microsphères), barres ou tubes, non travaillé
23.19.12;"Pavés, dalles, briques, carreaux, tuiles et autres articles, en verre pressé ou moulé ; verres assemblés en vitraux ; verre ""multicellulaire"" ou verre ""mousse"" en blocs, plaques ou formes similaires"
23.19.21;Ampoules et enveloppes tubulaires, ouvertes, et leurs parties, en verre, pour lampes électriques, tubes cathodiques ou similaires
23.19.22;"Verres d'horlogerie et de lunetterie, non travaillés optiquement ; sphères creuses et leurs segments, en verre, pour la fabrication de ces verres"
23.19.23;"Verrerie de laboratoire, d'hygiène ou de pharmacie ; ampoules de verre"
23.19.24;Parties en verre d'appareils d'éclairage, enseignes et panneaux lumineux
23.19.25;Isolateurs en verre
23.19.26;Produits en verre technique n.c.a.
23.19.91;Façonnage d'articles en verre, y compris d'articles techniques en verre
23.19.99;Opérations sous-traitées intervenant dans la fabrication d'autre verre travaillé, y compris de verre technique
23.20.11;Briques, dalles, carreaux et autres produits céramiques en farines siliceuses fossiles ou en terres siliceuses
23.20.12;Briques, dalles, carreaux et matériaux céramiques réfractaires de construction, autres que ceux en farines siliceuses fossiles ou en terres siliceuses
23.20.13;Ciments, mortiers, bétons et compositions similaires réfractaires n.c.a.
23.20.14;Produits réfractaires non cuits et autres produits céramiques réfractaires
23.20.99;Opérations sous-traitées intervenant dans la fabrication de produits réfractaires
23.31.10;Carreaux et dalles en céramique
23.31.99;Opérations sous-traitées intervenant dans la fabrication de carreaux et dalles en céramique
23.32.11;Briques de construction, hourdis, cache-poutrelles et articles similaires, en céramique non réfractaire
23.32.12;Tuiles, éléments de cheminée, conduits de fumée, ornements architectoniques et autres poteries de bâtiment, en céramique
23.32.13;Tuyaux, gouttières et accessoires de tuyauterie, en céramique
23.32.99;Opérations sous-traitées intervenant dans la fabrication de tuiles, briques et produits de construction en terre cuite
23.41.11;Vaisselle, autres articles de table ou d'économie domestique et articles de toilette, en porcelaine
23.41.12;Vaisselle, autres articles de table ou d'économie domestique et articles de toilette, autres qu'en porcelaine
23.41.13;Statuettes et autres objets d'ornement en céramique
23.41.99;Opérations sous-traitées intervenant dans la fabrication d'articles céramiques à usage domestique ou ornemental
23.42.10;Appareils sanitaires en céramique
23.42.99;Opérations sous-traitées intervenant dans la fabrication d'appareils sanitaires en céramique
23.43.10;"Isolateurs en céramique ; pièces isolantes pour machines, appareils ou équipements électriques, en céramique"
23.43.99;Opérations sous-traitées intervenant dans la fabrication d'isolateurs et de pièces isolantes en céramique
23.44.11;Porcelaines pour laboratoires ou pour usages chimiques ou techniques
23.44.12;Autres produits céramiques pour laboratoires ou pour usages chimiques ou techniques
23.44.99;Opérations sous-traitées intervenant dans la fabrication d'autres produits céramiques à usage technique
23.49.11;Produits céramiques à usage agricole et emballages en céramique
23.49.12;Autres produits céramiques non structurels n.c.a.
23.49.99;Opérations sous-traitées intervenant dans la fabrication d'autres produits céramiques
23.51.11;Clinkers de ciment
23.51.12;Ciment portland, ciment alumineux, ciment de laitier et ciments hydrauliques similaires
23.51.99;Opérations sous-traitées intervenant dans la fabrication du ciment
23.52.10;Chaux vive, chaux éteinte et chaux hydraulique
23.52.20;Plâtre
23.52.30;Dolomie calcinée ou agglomérée
23.52.99;Opérations sous-traitées intervenant dans la fabrication de la chaux et du plâtre
23.61.11;Tuiles, carreaux, dalles, briques et articles similaires, en ciment, béton ou pierre artificielle
23.61.12;Éléments préfabriqués pour la construction, en ciment, béton ou pierre artificielle
23.61.20;Constructions préfabriquées en béton
23.61.99;Opérations sous-traitées intervenant dans la fabrication d'éléments en béton pour la construction
23.62.10;Éléments en plâtre pour la construction
23.62.99;Opérations sous-traitées intervenant dans la fabrication d'éléments en plâtre pour la construction
23.63.10;Béton prêt à l'emploi
23.63.99;Opérations sous-traitées intervenant dans la fabrication de béton prêt à l'emploi
23.64.10;Mortiers et bétons secs
23.64.99;Opérations sous-traitées intervenant dans la fabrication de mortiers et bétons secs
23.65.11;Planches, blocs et articles similaires, en fibres végétales, en paille ou en déchets de bois, agglomérés avec des liants minéraux
23.65.12;Ouvrages en amiante-ciment, cellulose-ciment ou similaires
23.65.99;Opérations sous-traitées intervenant dans la fabrication d'ouvrages en fibre-ciment
23.69.11;Autres ouvrages en plâtre ou en compositions à base de plâtre n.c.a.
23.69.19;Ouvrages en ciment, béton ou pierre artificielle n.c.a.
23.69.99;Opérations sous-traitées intervenant dans la fabrication d'autres ouvrages en béton, plâtre ou ciment
23.70.11;"Marbre, travertin, albâtre, travaillés, et ouvrages en marbre, travertin et albâtre (à l'exclusion des pavés, bordures, dalles, carreaux, cubes et articles similaires) ; granulats, débris et poudre de marbre, travertin et albâtre, colorés artificiellement"
23.70.12;"Autres pierres de taille ou de construction travaillées et ouvrages en ces pierres ; autres granulats et poudre de pierre naturelle colorés artificiellement ; ouvrages en ardoise agglomérée"
23.70.99;Opérations sous-traitées intervenant dans la fabrication de pierre taillée et façonnée
23.91.11;Meules et articles similaires pour le travail des pierres, sans bâtis, et leurs parties, en pierres naturelles, en abrasifs naturels ou artificiels agglomérés ou en céramique
23.91.12;Abrasifs en poudre ou en grains, appliqués sur produits textiles, papier ou carton
23.91.99;Opérations sous-traitées intervenant dans la fabrication de produits abrasifs
23.99.11;"Amiante travaillé en fibres ; mélanges à base d'amiante et de carbonate de magnésium ; ouvrages en ces mélanges ou en amiante ; garnitures de friction pour freins, embrayages ou similaires, non montées"
23.99.12;Ouvrages en asphalte ou en produits similaires
23.99.13;Mélanges bitumineux à base de bitume et de matériaux pierreux naturels et artificiels, d'asphalte naturel ou de substances apparentées
23.99.14;"Graphites artificiel, colloïdal ou semi-colloïdal ; préparations à base de graphite ou d'autres carbones, sous forme de produits semi-finis"
23.99.15;Corindon artificiel
23.99.19;Produits minéraux non métalliques n.c.a.
23.99.99;Opérations sous-traitées intervenant dans la fabrication d'autres produits minéraux non métalliques n.c.a.
24.10.11;Fontes brutes et fontes spiegel en gueuses, saumons ou autres formes primaires
24.10.12;Ferroalliages
24.10.13;"Produits ferreux obtenus par réduction directe des minerais de fer et autres produits ferreux spongieux, en morceaux, boulettes ou formes similaires ; fer d'une pureté minimale en poids de 99,94 %, en morceaux, boulettes ou formes similaires"
24.10.14;Grenailles et poudres de fonte brute, de fonte spiegel ou d'acier
24.10.21;Acier non allié en lingots ou autres formes primaires et demi-produits en acier non allié
24.10.22;Acier inoxydable en lingots ou autres formes primaires et demi-produits en acier inoxydable
24.10.23;Autres aciers alliés en lingots ou autres formes primaires et demi-produits en autres aciers alliés
24.10.31;Produits laminés plats en acier non allié, simplement laminés à chaud, d'une largeur supérieure ou égale à 600 mm
24.10.32;Produits laminés plats en acier non allié, simplement laminés à chaud, d'une largeur inférieure à 600 mm
24.10.33;Produits laminés plats en acier inoxydable, simplement laminés à chaud, d'une largeur supérieure ou égale à 600 mm
24.10.34;Produits laminés plats en acier inoxydable, simplement laminés à chaud, d'une largeur inférieure à 600 mm
24.10.35;Produits laminés plats en autres aciers alliés, simplement laminés à chaud, d'une largeur supérieure ou égale à 600 mm
24.10.36;Produits laminés plats en autres aciers alliés, simplement laminés à chaud, d'une largeur inférieure à 600 mm (à l'exclusion des produits en acier au silicium)
24.10.41;Produits laminés plats en acier non allié, simplement laminés à froid, d'une largeur supérieure ou égale à 600 mm
24.10.42;Produits laminés plats en acier inoxydable, simplement laminés à froid, d'une largeur supérieure ou égale à 600 mm
24.10.43;Produits laminés plats en autres aciers alliés, simplement laminés à froid, d'une largeur supérieure ou égale à 600 mm
24.10.51;Produits laminés plats en acier non allié, d'une largeur supérieure ou égale à 600 mm, plaqués ou revêtus
24.10.52;Produits laminés plats en autres aciers alliés, d'une largeur supérieure ou égale à 600 mm, plaqués ou revêtus
24.10.53;Produits laminés plats en acier au silicium, d'une largeur supérieure ou égale à 600 mm
24.10.54;Produits laminés plats en acier au silicium, d'une largeur inférieure à 600 mm
24.10.55;Produits laminés plats en acier à coupe rapide, d'une largeur inférieure à 600 mm
24.10.61;Fil machine enroulé en couronnes irrégulières, laminé à chaud, en acier non allié
24.10.62;Barres en acier, simplement forgées, laminées ou filées à chaud, y compris celles ayant subi une torsion après laminage
24.10.63;Fil machine enroulé en couronnes irrégulières, laminé à chaud, en acier inoxydable
24.10.64;Barres en acier inoxydable, simplement forgées, laminées ou filées à chaud, y compris celles ayant subi une torsion après laminage
24.10.65;Fil machine enroulé en couronnes irrégulières, laminé à chaud, en autres aciers alliés
24.10.66;Barres en autres aciers alliés, simplement forgées, laminées ou filées à chaud, y compris celles ayant subi une torsion après laminage
24.10.67;Barres creuses pour le forage
24.10.71;Profilés ouverts, simplement laminés ou filées à chaud, en acier non allié
24.10.72;Profilés ouverts, simplement laminés ou filées à chaud, en acier inoxydable
24.10.73;Profilés ouverts, simplement laminés ou filées à chaud, en autres aciers alliés
24.10.74;Palplanches en acier et profilés ouverts obtenus par soudage
24.10.75;Éléments de voie ferrée en acier
24.10.99;Opérations sous-traitées intervenant dans la fabrication de produits sidérurgiques de base et de ferroalliages
24.20.11;Tubes sans soudure des types utilisés pour les oléoducs et les gazoducs, en acier
24.20.12;Tubes sans soudure des types utilisés pour le forage pétrolier ou gazier, en acier
24.20.13;Autres tubes et tuyaux, de section circulaire, en acier
24.20.14;Tubes et tuyaux, de section non circulaire, et profilés creux, en acier
24.20.21;Tubes soudés des types utilisés pour les oléoducs et les gazoducs, d'un diamètre extérieur supérieur à 406,4 mm, en acier
24.20.22;Tubes soudés des types utilisés pour le forage pétrolier ou gazier, en acier, d'un diamètre extérieur supérieur à 406,4 mm
24.20.23;Autres tubes et tuyaux, soudés, de section circulaire et d'un diamètre extérieur supérieur à 406,4 mm, en acier
24.20.24;Autres tubes et tuyaux rivés, agrafés ou à bords rapprochés, de section circulaire, en acier, d'un diamètre extérieur supérieur à 406,4 mm
24.20.31;Tubes soudés des types utilisés pour les oléoducs et les gazoducs, d'un diamètre extérieur inférieur ou égal à 406,4 mm, en acier
24.20.32;Tubes soudés des types utilisés pour le forage pétrolier ou gazier, en acier, d'un diamètre extérieur inférieur ou égal à 406,4 mm
24.20.33;Autres tubes et tuyaux, soudés, de section circulaire et d'un diamètre extérieur inférieur ou égal à 406,4 mm, en acier
24.20.34;Tubes et tuyaux soudés, de section non circulaire, en acier, d'un diamètre extérieur inférieur ou égal à 406,4 mm
24.20.35;Autres tubes et tuyaux rivés, agrafés ou à bords rapprochés, en acier, d'un diamètre extérieur inférieur ou égal à 406,4 mm
24.20.40;Accessoires de tuyauterie, en acier, non moulés
24.20.99;Opérations sous-traitées intervenant dans la fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier
24.31.10;Barres étirées à froid et profilés pleins en acier non allié
24.31.20;Barres étirées à froid et profilés pleins en acier allié, autres qu'en acier inoxydable
24.31.30;Barres étirées à froid et profilés pleins en acier inoxydable
24.31.99;Opérations sous-traitées intervenant dans la fabrication de barres étirées à froid
24.32.10;Produits plats laminés à froid, en acier, non revêtus, d'une largeur inférieure à 600 mm
24.32.20;Produits plats laminés à froid, en acier, plaqués ou revêtus, d'une largeur inférieure à 600 mm
24.32.99;Opérations sous-traitées intervenant dans la fabrication de feuillards laminés à froid
24.33.11;Profilés formés à froid ou pliés, en acier non allié
24.33.12;Profilés formés à froid ou pliés, en acier inoxydable
24.33.20;Tôles nervurées, en acier non allié
24.33.30;Panneaux-sandwichs en tôle d'acier revêtue
24.33.99;Opérations sous-traitées intervenant dans la fabrication de produits formés à froid ou pliés
24.34.11;Fils tréfilés à froid, en acier non allié
24.34.12;Fils tréfilés à froid, en acier inoxydable
24.34.13;Fils tréfilés à froid, en autres aciers alliés
24.34.99;Opérations sous-traitées intervenant dans la fabrication de fils tréfilés à froid
24.41.10;Argent brut, mi-ouvré ou en poudre
24.41.20;Or brut, mi-ouvré ou en poudre
24.41.30;Platine, brut, mi-ouvré ou en poudre
24.41.40;Plaqués ou doublés d'or sur métaux communs ou sur argent, sous formes brutes ou mi-ouvrées
24.41.50;Plaqués ou doublés d'argent sur métaux communs et plaqués ou doublés de platine sur métaux communs, or ou argent, sous formes brutes ou mi-ouvrées
24.41.99;Opérations sous-traitées intervenant dans la fabrication de métaux précieux
24.42.11;Aluminium brut
24.42.12;Oxyde d'aluminium, à l'exclusion du corindon artificiel
24.42.21;Poudres et paillettes d'aluminium
24.42.22;Barres et profilés en aluminium
24.42.23;Fils en aluminium
24.42.24;Tôles et bandes en aluminium, d'une épaisseur supérieure à 0,2 mm
24.42.25;Feuilles et bandes minces en aluminium, d'une épaisseur inférieure ou égale à 0,2 mm
24.42.26;Tubes, tuyaux et accessoires de tuyauterie en aluminium
24.42.99;Opérations sous-traitées intervenant dans la fabrication de l'aluminium
24.43.11;Plomb brut
24.43.12;Zinc brut
24.43.13;Étain brut
24.43.21;"Tôles, bandes et feuilles en plomb ; poudres et paillettes de plomb"
24.43.22;Poussières, poudres et paillettes de zinc
24.43.23;"Barres, profilés et fils en zinc ; tôles, bandes et feuilles en zinc"
24.43.24;Barres, profilés et fils en étain
24.43.99;Opérations sous-traitées intervenant dans la fabrication de plomb, zinc et étain
24.44.11;"Mattes de cuivre ; cuivre de ciment"
24.44.12;"Cuivre non affiné ; anodes en cuivre pour affinage électrolytique"
24.44.13;"Cuivre affiné et alliages de cuivre bruts ; alliages mères de cuivre"
24.44.21;Poudres et paillettes de cuivre
24.44.22;Barres et profilés en cuivre
24.44.23;Fils de cuivre
24.44.24;Tôles et bandes en cuivre, d'une épaisseur supérieure à 0,15 mm
24.44.25;Feuilles en cuivre, d'une épaisseur inférieure ou égale à 0,15 mm
24.44.26;Tubes, tuyaux et accessoires de tuyauterie en cuivre
24.44.99;Opérations sous-traitées intervenant dans la fabrication du cuivre
24.45.11;Nickel brut
24.45.12;Mattes de nickel, sinters et autres produits intermédiaires de la métallurgie du nickel
24.45.21;Poudres et paillettes de nickel
24.45.22;Barres, profilés et fils en nickel
24.45.23;Tôles, bandes et feuilles en nickel
24.45.24;Tubes, tuyaux et accessoires de tuyauterie en nickel
24.45.30;"Autres métaux non ferreux et ouvrages en ces métaux ; cermets ; cendres et résidus contenant des métaux ou des composés métalliques"
24.45.99;Opérations sous-traitées intervenant dans la fabrication d'autres métaux non ferreux
24.46.10;"Uranium naturel et ses composés ; alliages, dispersions (y compris cermets), produits céramiques et mélanges contenant de l'uranium naturel ou des composés"
24.46.99;Opérations sous-traitées intervenant dans le traitement de combustibles nucléaires
24.51.11;Travaux de fonderie de fonte malléable
24.51.12;Travaux de fonderie de fonte à graphite sphéroïdal
24.51.13;Travaux de fonderie de fonte grise ordinaire
24.51.20;Tubes, tuyaux et profilés creux, en fonte
24.51.30;Accessoires de tuyauterie, en fonte
24.51.99;Opérations sous-traitées intervenant dans la fonderie de fonte
24.52.10;Travaux de fonderie d'acier
24.52.20;Tubes et tuyaux en acier coulé par centrifugation
24.52.30;Accessoires de tuyauterie, en acier coulé
24.53.10;Travaux de fonderie de métaux légers
24.54.10;Travaux de fonderie d'autres métaux non ferreux
25.11.10;Constructions métalliques préfabriquées
25.11.21;Tabliers de pont et passerelles, en fer ou en acier
25.11.22;Pylônes et mâts, en fer ou en acier
25.11.23;Autres ossatures et éléments de structures, plaques, barres, profilés et similaires, en fer, acier ou aluminium
25.11.99;Opérations sous-traitées intervenant dans la fabrication de structures métalliques et parties de structures
25.12.10;Portes, fenêtres et huisseries métalliques
25.12.99;Opérations sous-traitées intervenant dans la fabrication de portes et fenêtres en métal
25.21.11;Radiateurs pour le chauffage, non électriques, en fonte ou en acier
25.21.12;Chaudières pour le chauffage central, à eau chaude ou à vapeur
25.21.13;Parties de chaudières pour le chauffage central
25.21.99;Opérations sous-traitées intervenant dans la fabrication de radiateurs et chaudières pour le chauffage central
25.29.11;Réservoirs, foudres, cuves et conteneurs similaires (autres que pour les gaz comprimés ou liquéfiés), en fonte, fer, acier ou aluminium, d'une contenance supérieure à 300 l, sans dispositifs mécaniques ou thermiques
25.29.12;Conteneurs métalliques pour gaz comprimés ou liquéfiés
