01.11.1;Blé
23.19.1;Autre verre, semi-fini
23.19.2;Verre technique et autre
23.19.9;"Façonnage d'articles en verre, y compris d'articles techniques en verre ; opérations sous-traitées intervenant dans la fabrication d'autres articles en verre travaillé, y compris de verre technique"
23.20.1;Produits réfractaires
23.20.9;Opérations sous-traitées intervenant dans la fabrication de produits réfractaires
23.31.1;Carreaux et dalles en céramique
23.31.9;Opérations sous-traitées intervenant dans la fabrication de carreaux et dalles en céramique
23.32.1;Tuiles, briques et produits de construction en terre cuite
23.32.9;Opérations sous-traitées intervenant dans la fabrication de tuiles, briques et produits de construction en terre cuite
23.41.1;Articles céramiques à usage domestique ou ornemental
23.41.9;Opérations sous-traitées intervenant dans la fabrication d'articles céramiques à usage domestique ou ornemental
23.42.1;Appareils sanitaires en céramique
23.42.9;Opérations sous-traitées intervenant dans la fabrication d'appareils sanitaires en céramique
23.43.1;"Isolateurs en céramique ; pièces isolantes pour machines, appareils ou équipements électriques, en céramique"
23.43.9;Opérations sous-traitées intervenant dans la fabrication d'isolateurs et de pièces isolantes en céramique
23.44.1;Autres produits céramiques à usage technique
23.44.9;Opérations sous-traitées intervenant dans la fabrication d'autres produits céramiques à usage technique
23.49.1;Autres produits céramiques
23.49.9;Opérations sous-traitées intervenant dans la fabrication d'autres produits céramiques
23.51.1;Ciment
23.51.9;Opérations sous-traitées intervenant dans la fabrication du ciment
23.52.1;Chaux vive, chaux éteinte et chaux hydraulique
23.52.2;Plâtre
23.52.3;Dolomie calcinée ou agglomérée
23.52.9;Opérations sous-traitées intervenant dans la fabrication de la chaux et du plâtre
23.61.1;Éléments en béton pour la construction
23.61.2;Constructions préfabriquées en béton
23.61.9;Opérations sous-traitées intervenant dans la fabrication d'éléments en béton pour la construction
23.62.1;Éléments en plâtre pour la construction
23.62.9;Opérations sous-traitées intervenant dans la fabrication d'éléments en plâtre pour la construction
23.63.1;Béton prêt à l'emploi
23.63.9;Opérations sous-traitées intervenant dans la fabrication de béton prêt à l'emploi
23.64.1;Mortiers et bétons secs
23.64.9;Opérations sous-traitées intervenant dans la fabrication de mortiers et bétons secs
23.65.1;Ouvrages en fibre-ciment
23.65.9;Opérations sous-traitées intervenant dans la fabrication d'ouvrages en fibre-ciment
23.69.1;Autres ouvrages en béton, plâtre ou ciment
23.69.9;Opérations sous-traitées intervenant dans la fabrication d'autres ouvrages en béton, plâtre ou ciment
23.70.1;Pierre taillée, façonnée et finie
23.70.9;Opérations sous-traitées intervenant dans la fabrication de pierre taillée et façonnée
23.91.1;Produits abrasifs
23.91.9;Opérations sous-traitées intervenant dans la fabrication de produits abrasifs
23.99.1;Autres produits minéraux non métalliques n.c.a.
23.99.9;Opérations sous-traitées intervenant dans la fabrication d'autres produits minéraux non métalliques n.c.a.
24.10.1;Produits sidérurgiques primaires
24.10.2;Acier brut
24.10.3;Produits laminés plats en acier, simplement laminés à chaud
24.10.4;Produits laminés plats en acier, simplement laminés à froid, d'une largeur supérieure ou égale à 600 mm
24.10.5;Produits laminés plats en acier, plaqués ou revêtus et produits laminés plats en acier à coupe rapide et en acier au silicium
24.10.6;Barres laminées à chaud en acier
24.10.7;Profilés ouverts laminés à chaud, palplanches et éléments de voie ferrée, en acier
24.10.9;Opérations sous-traitées intervenant dans la fabrication de produits sidérurgiques de base et de ferroalliages
24.20.1;Tubes, tuyaux et profilés creux, sans soudure, en acier
24.20.2;Tubes et tuyaux, soudés, de section circulaire et d'un diamètre extérieur supérieur à 406,4 mm, en acier
24.20.3;Tubes et tuyaux soudés, d'un diamètre extérieur inférieur ou égal à 406,4 mm, en acier
24.20.4;Accessoires de tuyauterie, en acier, non moulés
24.20.9;Opérations sous-traitées intervenant dans la fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier
24.31.1;Barres étirées à froid et profilés pleins en acier non allié
24.31.2;Barres étirées à froid et profilés pleins en acier allié, autres qu'en acier inoxydable
24.31.3;Barres étirées à froid et profilés pleins en acier inoxydable
24.31.9;Opérations sous-traitées intervenant dans la fabrication de barres étirées à froid
24.32.1;Produits plats laminés à froid, en acier, non revêtus, d'une largeur inférieure à 600 mm
24.32.2;Produits plats laminés à froid, en acier, plaqués ou revêtus, d'une largeur inférieure à 600 mm
24.32.9;Opérations sous-traitées intervenant dans la fabrication de feuillards laminés à froid
24.33.1;Profilés formés à froid ou pliés
24.33.2;Tôles nervurées, en acier non allié
24.33.3;Panneaux-sandwichs en tôle d'acier revêtue
24.33.9;Opérations sous-traitées intervenant dans la fabrication de produits formés à froid ou pliés
24.34.1;Fils tréfilés à froid
24.34.9;Opérations sous-traitées intervenant dans la fabrication de fils tréfilés à froid
24.41.1;Argent brut, mi-ouvré ou en poudre
24.41.2;Or brut, mi-ouvré ou en poudre
24.41.3;Platine, brut, mi-ouvré ou en poudre
24.41.4;Plaqués ou doublés d'or sur métaux communs ou sur argent, sous formes brutes ou mi-ouvrées
24.41.5;Plaqués ou doublés d'argent sur métaux communs et plaqués ou doublés de platine sur métaux communs, or ou argent, sous formes brutes ou mi-ouvrées
24.41.9;Opérations sous-traitées intervenant dans la fabrication de métaux précieux
24.42.1;"Aluminium brut ; oxyde d'aluminium"
24.42.2;Demi-produits en aluminium ou en alliages d'aluminium
24.42.9;Opérations sous-traitées intervenant dans la fabrication de l'aluminium
24.43.1;Plomb, zinc et étain bruts
24.43.2;Demi-produits en plomb, zinc ou étain ou en alliages à base de ces métaux
24.43.9;Opérations sous-traitées intervenant dans la fabrication de plomb, zinc et étain
24.44.1;"Cuivre brut ; mattes de cuivre ; cuivre de ciment"
24.44.2;Demi-produits en cuivre et en alliages de cuivre
24.44.9;Opérations sous-traitées intervenant dans la fabrication du cuivre
24.45.1;"Nickel brut ; produits intermédiaires de la métallurgie du nickel"
24.45.2;Demi-produits en nickel et en alliages de nickel
24.45.3;"Autres métaux non ferreux et ouvrages en ces métaux ; cermets ; cendres et résidus contenant des métaux ou des composés métalliques"
24.45.9;Opérations sous-traitées intervenant dans la fabrication d'autres métaux non ferreux
24.46.1;"Uranium naturel et ses composés ; alliages, dispersions (y compris cermets), produits céramiques et mélanges contenant de l'uranium naturel ou des composés"
24.46.9;Opérations sous-traitées intervenant dans le traitement de combustibles nucléaires
24.51.1;Travaux de fonderie de fonte
24.51.2;Tubes, tuyaux et profilés creux, en fonte
24.51.3;Accessoires de tuyauterie, en fonte
24.51.9;Opérations sous-traitées intervenant dans la fonderie de fonte
24.52.1;Travaux de fonderie d'acier
24.52.2;Tubes et tuyaux en acier coulé par centrifugation
24.52.3;Accessoires de tuyauterie, en acier coulé
24.53.1;Travaux de fonderie de métaux légers
24.54.1;Travaux de fonderie d'autres métaux non ferreux
25.11.1;Constructions métalliques préfabriquées
25.11.2;Constructions et ossatures métalliques
25.11.9;Opérations sous-traitées intervenant dans la fabrication de structures métalliques et parties de structures
25.12.1;Portes, fenêtres et huisseries métalliques
25.12.9;Opérations sous-traitées intervenant dans la fabrication de portes et fenêtres en métal
25.21.1;Radiateurs et chaudières pour le chauffage central
25.21.9;Opérations sous-traitées intervenant dans la fabrication de radiateurs et chaudières pour le chauffage central
25.29.1;Autres réservoirs, citernes et conteneurs métalliques
25.29.9;Opérations sous-traitées intervenant dans la fabrication de réservoirs, citernes et conteneurs métalliques
25.30.1;Générateurs de vapeur et leurs éléments
25.30.2;Réacteurs nucléaires et leurs éléments
25.30.9;Opérations sous-traitées intervenant dans la fabrication de générateurs de vapeur
25.40.1;Armes et munitions et leurs parties
25.40.9;Opérations sous-traitées intervenant dans la fabrication d'armes et de munitions
25.50.1;Produits de la forge, de l'emboutissage, de l'estampage et du profilage
25.50.2;Travaux de la métallurgie des poudres
25.61.1;Revêtement des métaux
25.61.2;Autres traitements des métaux
25.62.1;Décolletage
25.62.2;Autres travaux d'usinage
25.71.1;Articles de coutellerie
25.71.9;Opérations sous-traitées intervenant dans la fabrication d'articles de coutellerie
25.72.1;Serrures et ferrures
25.72.9;Opérations sous-traitées intervenant dans la fabrication de serrures et ferrures
25.73.1;Outils à main agricoles, horticoles ou forestiers
25.73.2;"Scies à main ; lames de scie de toutes sortes"
25.73.3;Autres outils à main
25.73.4;Outils interchangeables pour outillage à main, mécanique ou non, ou pour machines-outils
25.73.5;"Moules ; châssis de moulage pour la fonderie ; carcasses ; modèles"
25.73.6;Autres outils
25.73.9;Opérations sous-traitées intervenant dans la fabrication d'outillage
25.91.1;Bidons métalliques et récipients similaires
25.91.9;Opérations sous-traitées intervenant dans la fabrication de bidons métalliques et récipients similaires
25.92.1;Emballages légers métalliques
25.92.9;Opérations sous-traitées intervenant dans la fabrication d'emballages légers métalliques
25.93.1;Articles en fils, chaînes et ressorts
25.93.9;Opérations sous-traitées intervenant dans la fabrication d'articles en fils, de chaînes et de ressorts
25.94.1;Vis et boulons
25.94.9;Opérations sous-traitées intervenant dans la fabrication de vis et boulons
25.99.1;Articles métalliques domestiques
25.99.2;Autres articles en métaux communs
25.99.9;Opérations sous-traitées intervenant dans la fabrication d'autres produits métalliques n.c.a.
26.11.1;Lampes, tubes et valves électroniques à cathode chaude, à cathode froide ou à photocathode, y compris tubes cathodiques
26.11.2;Diodes et transistors
26.11.3;Circuits intégrés électroniques
26.11.4;Parties de tubes, valves et autres composants électroniques n.c.a.
26.11.5;Circuits imprimés nus
26.11.9;"Fabrication de circuits intégrés électroniques ; opérations sous-traitées intervenant dans la fabrication de composants électroniques"
26.12.1;Circuits imprimés chargés
26.12.2;Cartes son, vidéo, réseau et similaires pour unités automatiques de traitement de l'information
26.12.3;Cartes intelligentes
26.12.9;"Impression de circuits ; opérations sous-traitées intervenant dans la fabrication de cartes électroniques assemblées"
26.20.1;Ordinateurs et leurs parties et accessoires
26.20.2;Unités de mémoire et autres dispositifs de stockage
26.20.3;Autres unités pour matériel informatique
26.20.4;Parties et accessoires pour matériel informatique
26.20.9;"Fabrication d'ordinateurs et d'équipements périphériques ; opérations sous-traitées intervenant dans la fabrication d'ordinateurs et d'équipements périphériques"
26.30.1;"Appareils d'émission pour la radiodiffusion ou la télévision ; caméras de télévision"
26.30.2;"Appareils électriques pour la téléphonie ou la télégraphie par fil ; visiophones"
26.30.3;Parties de matériel téléphonique et télégraphique
26.30.4;"Antennes et réflecteurs d'antenne de tous types et leurs parties ; parties d'appareils d'émission pour la radiodiffusion et la télévision et caméras de télévision"
26.30.5;Avertisseurs pour la protection contre le vol ou l'incendie et appareils similaires
26.30.6;Parties d'avertisseurs pour la protection contre le vol ou l'incendie et d'appareils similaires
26.30.9;Opérations sous-traitées intervenant dans la fabrication d'équipements de communication
26.40.1;Récepteurs radio
26.40.2;Récepteurs de télévision, combinés ou non à un récepteur de radio ou un appareil d'enregistrement ou de reproduction du son ou des images
26.40.3;Appareils d'enregistrement ou de reproduction du son ou des images
26.40.4;Microphones, haut-parleurs, récepteurs de radiotéléphonie ou de télégraphie
26.40.5;Parties d'appareils de réception, enregistrement ou reproduction du son et de l'image
26.40.6;Jeux vidéo (utilisables avec un récepteur de télévision ou à écran intégré) et autres jeux électroniques
26.40.9;Opérations sous-traitées intervenant dans la fabrication de produits électroniques grand public
26.51.1;Instruments et appareils d'aide à la navigation et de mesures météorologiques, géophysiques et similaires
26.51.2;Appareils radar et de radionavigation
26.51.3;"Balances de précision ; instruments de dessin, calcul et mesure des longueurs"
26.51.4;Instruments de mesure de grandeurs électriques ou de radiations ionisantes
26.51.5;Instruments de contrôle d'autres grandeurs physiques
26.51.6;Autres instruments et appareils de mesure, de contrôle et d'essai
26.51.7;Thermostats, manostats et autres instruments et appareils de régulation ou de contrôle automatiques
26.51.8;Parties et accessoires des instruments et appareils de mesure, d'essai et de navigation
26.51.9;Opérations sous-traitées intervenant dans la fabrication d'instruments et appareils de mesure, d'essai et de navigation
26.52.1;Montres et autres compteurs de temps, à l'exclusion de leurs mouvements et éléments
26.52.2;Mouvements et éléments de montres
26.52.9;Opérations sous-traitées intervenant dans la fabrication d'articles d'horlogerie
26.60.1;Équipements d'irradiation médicale, électromédicaux et électrothérapeutiques
26.60.9;"Fabrication d'appareils médicaux ; opérations sous-traitées intervenant dans la fabrication d'équipements d'irradiation médicale, électromédicaux et électrothérapeutiques"
26.70.1;Matériel photographique et parties
26.70.2;Autre matériel optique et parties
26.70.9;Opérations sous-traitées intervenant dans la fabrication de matériel optique et photographique
26.80.1;Supports magnétiques et optiques
26.80.9;Opérations sous-traitées intervenant dans la fabrication de supports magnétiques et optiques
27.11.1;"Moteurs d'une puissance inférieure ou égale à 37,5 w ; autres moteurs à courant continu ; génératrices à courant continu"
27.11.2;"Moteurs universels d'une puissance supérieure à 37,5 w ; autres moteurs à courant alternatif ; génératrices (alternateurs) à courant alternatif"
27.11.3;Groupes électrogènes et convertisseurs rotatifs
27.11.4;Transformateurs électriques
27.11.5;"Ballasts pour lampes ou tubes à décharge ; autres bobines de réactance"
27.11.6;Parties de moteurs, génératrices et transformateurs électriques
27.11.9;Opérations sous-traitées intervenant dans la fabrication de moteurs, génératrices et transformateurs électriques
27.12.1;Matériel de commande et de protection de circuits électriques, pour une tension supérieure à 1 000 v
27.12.2;Matériel de commande et de protection de circuits électriques, pour une tension inférieure ou égale à 1 000 v
27.12.3;Armoires de commande électrique
27.12.4;Parties de matériel de distribution et de commande électrique
27.12.9;Opérations sous-traitées intervenant dans la fabrication de matériel de distribution et de commande électrique
27.20.1;Piles et batteries de piles électriques et leurs parties
27.20.2;Accumulateurs électriques et leurs parties
27.20.9;Opérations sous-traitées intervenant dans la fabrication de piles et accumulateurs électriques
27.31.1;Câbles de fibres optiques
27.31.9;Opérations sous-traitées intervenant dans la fabrication de câbles de fibres optiques
27.32.1;Autres fils et câbles électroniques ou électriques
27.32.9;Opérations sous-traitées intervenant dans la fabrication d'autres fils et câbles électroniques ou électriques
27.33.1;Matériel d'installation électrique
27.33.9;Opérations sous-traitées intervenant dans la fabrication de matériel d'installation électrique
27.40.1;"Lampes électriques à incandescence ou à décharge ; lampes à arc"
27.40.2;Appareils d'éclairage
27.40.3;Autres appareils d'éclairage
27.40.4;Parties de lampes et d'appareils d'éclairage
27.40.9;Opérations sous-traitées intervenant dans la fabrication d'appareils d'éclairage électrique
27.51.1;"Réfrigérateurs et congélateurs ; lave-vaisselle et lave-linge ; couvertures chauffantes ; ventilateurs"
27.51.2;Autres appareils électroménagers n.c.a.
27.51.3;Parties d'appareils électroménagers
27.51.9;Opérations sous-traitées intervenant dans la fabrication d'appareils électroménagers
27.52.1;Appareils ménagers de cuisson et de chauffage, non électriques
27.52.2;Parties d'appareils de cuisson ou de chauffage, non électriques
27.52.9;Opérations sous-traitées intervenant dans la fabrication d'appareils ménagers non électriques
27.90.1;Autres matériels électriques et leurs parties
27.90.2;"Tableaux d'affichage équipés de dispositifs à cristaux liquides ou de diodes électroluminescentes ; appareils électriques de signalisation sonore ou visuelle"
27.90.3;Matériel électrique pour le soudage, le brasage, la trempe superficielle et la projection à chaud
27.90.4;"Autres matériels électriques n.c.a. (y compris électro-aimants ; accouplements et freins électromagnétiques ; têtes de levage électromagnétiques ; accélérateurs de particules électriques ; générateurs de signaux électriques et appareils pour galvanoplastie, électrolyse et électrophorèse)"
27.90.5;Condensateurs
27.90.6;Résistances électriques, à l'exclusion des résistances chauffantes
27.90.7;Équipements électriques de signalisation, de sécurité ou de contrôle pour voies ferrées ou similaires, routières ou fluviales, aires ou parcs de stationnement, installations portuaires ou aérodromes
27.90.8;Éléments pour condensateurs, résistances électriques, rhéostats et potentiomètres
27.90.9;Opérations sous-traitées intervenant dans la fabrication d'autres matériels électriques
28.11.1;Moteurs, à l'exclusion des moteurs pour avions, automobiles et motocycles
28.11.2;Turbines
28.11.3;Parties de turbines
28.11.4;Parties pour moteurs
28.11.9;Opérations sous-traitées intervenant dans la fabrication de moteurs et turbines, à l'exclusion des moteurs pour avions, automobiles et motocycles
28.12.1;Équipements hydrauliques et pneumatiques, à l'exclusion des parties
28.12.2;Parties pour équipements hydrauliques et pneumatiques
28.12.9;Opérations sous-traitées intervenant dans la fabrication d'équipements hydrauliques et pneumatiques
28.13.1;"Pompes pour liquides ; élévateurs à liquides"
28.13.2;"Pompes à air ou à vide ; compresseurs d'air ou d'autres gaz"
28.13.3;Parties de pompes et compresseurs
28.13.9;Opérations sous-traitées intervenant dans la fabrication d'autres pompes et compresseurs
28.14.1;Articles de robinetterie et organes similaires pour tuyauteries, chaudières, réservoirs, cuves ou contenants similaires
28.14.2;Pièces de robinetterie et articles similaires
28.14.9;Opérations sous-traitées intervenant dans la fabrication d'autres articles de robinetterie
28.15.1;Roulements à billes ou à rouleaux
28.15.2;Autres organes mécaniques de transmission
28.15.3;Parties d'organes mécaniques de transmission
28.15.9;Opérations sous-traitées intervenant dans la fabrication d'engrenages et d'organes mécaniques de transmission
28.21.1;Fours et brûleurs et leurs parties
28.21.9;Opérations sous-traitées intervenant dans la fabrication de fours et brûleurs
28.22.1;Équipements de levage et de manutention et leurs parties
28.22.2;Godets, bennes, pelles et pinces pour grues ou matériel de génie civil
28.22.9;Opérations sous-traitées intervenant dans la fabrication de matériel de levage et de manutention
28.23.1;Machines comptables et machines similaires comportant un dispositif de calcul
28.23.2;Machines de bureau et leurs parties
28.23.9;"Fabrication de machines de bureau et comptables ; opérations sous-traitées intervenant dans la fabrication de machines et équipements de bureau (à l'exclusion des ordinateurs et équipements périphériques)"
28.24.1;"Outillage manuel électromécanique ; autre outillage manuel électroportatif"
28.24.2;Parties d'outillage portatif à moteur incorporé
28.24.9;Opérations sous-traitées intervenant dans la fabrication d'outillage portatif à moteur incorporé
28.25.1;"Échangeurs de chaleur ; climatiseurs, équipements de réfrigération, de congélation et de surgélation industriels"
28.25.2;Appareils de ventilation non domestiques
28.25.3;Parties d'équipements frigorifiques industriels et de pompes à chaleur
28.25.9;Opérations sous-traitées intervenant dans la fabrication d'équipements aérauliques et frigorifiques industriels
28.29.1;Générateurs de gaz, appareils de distillation et de filtration
28.29.2;"Équipements de nettoyage, remplissage, emballage ou conditionnement de bouteilles ou autres récipients ; extincteurs, pistolets pulvérisateurs, appareils de nettoyage à la vapeur ou au sable ; joints"
28.29.3;Appareils de pesage et de mesurage industriels, domestiques ou autres
28.29.4;Centrifugeuses, appareils de calandrage et machines de vente automatiques
28.29.5;Machines à laver la vaisselle de type industriel
28.29.6;Matériel n.c.a. pour le traitement de matériaux fonctionnant sur la base d'une différence de température
28.29.7;"Matériel non électrique pour le soudage et le brasage et ses parties ; matériel pour la trempe superficielle fonctionnant au gaz"
28.29.8;Parties d'autres machines d'usage général n.c.a.
28.29.9;Opérations sous-traitées intervenant dans la fabrication d'autres machines d'usage général n.c.a.
28.30.1;Motoculteurs
28.30.2;Autres tracteurs agricoles
28.30.3;Matériel agricole pour le travail du sol
28.30.4;Tondeuses à gazon
28.30.5;Matériel de récolte
28.30.6;Pulvérisateurs et poudreuses agricoles et horticoles
28.30.7;Remorques autochargeuses et autodéchargeuses et semi-remorques agricoles
28.30.8;Autre matériel agricole
28.30.9;"Parties de matériel agricole ; opérations sous-traitées intervenant dans la fabrication de machines agricoles et forestières"
28.41.1;"Machines-outils d'usinage des métaux, opérant par laser ou procédés similaires ; centres d'usinage des métaux"
28.41.2;Tours, machines à percer et à fraiser, pour l'usinage des métaux
28.41.3;Autres machines-outils pour l'usinage des métaux
28.41.4;Parties et accessoires de machines-outils à métaux
28.41.9;Opérations sous-traitées intervenant dans la fabrication de machines de formage des métaux
28.49.1;Machines-outils pour le travail de la pierre, du bois et d'autres matériaux durs
28.49.2;Porte-outils
28.49.9;Opérations sous-traitées intervenant dans la fabrication d'autres machines-outils
28.91.1;Machines pour la métallurgie et leurs parties
28.91.9;Opérations sous-traitées intervenant dans la fabrication de machines pour la métallurgie
28.92.1;Matériel de mines
28.92.2;Autres machines et appareils de terrassement, nivellement, décapage, excavation, compactage, extraction de la terre, des minéraux ou minerais, autopropulsés (y compris bouteurs, pelles mécaniques et rouleaux compresseurs)
28.92.3;Autres matériels de travaux publics
28.92.4;Machines à trier, broyer, mélanger la terre, la pierre, les minerais et d'autres substances minérales
28.92.5;Tracteurs de chantier
28.92.6;Parties de machines pour l'extraction ou la construction
28.92.9;Opérations sous-traitées intervenant dans la fabrication de machines pour l'extraction ou la construction
28.93.1;Machines pour l'industrie agroalimentaire, à l'exclusion de leurs parties
28.93.2;Machines pour le nettoyage, le tri ou le criblage des grains ou des légumes secs
28.93.3;Parties de machines pour l'industrie agroalimentaire
28.93.9;Opérations sous-traitées intervenant dans la fabrication de machines pour l'industrie agroalimentaire
28.94.1;Machines de filature, tissage et tricotage
28.94.2;Autres machines pour l'industrie textile et la confection, y compris machines à coudre
28.94.3;Machines pour le travail du cuir ou pour la fabrication ou réparation de chaussures ou autres
28.94.4;Machines à coudre de type ménager
28.94.5;Parties et accessoires de machines de filature, tissage et tricotage et d'autres machines pour l'industrie textile et la confection
28.94.9;Opérations sous-traitées intervenant dans la fabrication de machines pour les industries textiles
28.95.1;Machines pour les industries du papier et du carton et leurs parties
28.95.9;Opérations sous-traitées intervenant dans la fabrication de machines pour les industries du papier et du carton
28.96.1;Machines n.c.a. pour le travail du caoutchouc ou des matières plastiques et pour la fabrication d'articles en ces matières
28.96.2;Parties de machines n.c.a. pour le travail du caoutchouc ou des matières plastiques et pour la fabrication d'articles en ces matières
28.96.9;Opérations sous-traitées intervenant dans la fabrication de machines pour le travail du caoutchouc ou des matières plastiques
28.99.1;Machines d'imprimerie et machines pour le brochage et la reliure
28.99.2;Machines et appareils utilisés uniquement ou principalement pour fabriquer des barreaux ou plaquettes de semi-conducteurs, des dispositifs à semi-conducteur, des circuits intégrés électroniques ou des écrans plats
28.99.3;Machines d'usage spécifique n.c.a.
28.99.4;Parties de machines d'imprimerie et de machines pour le brochage et la reliure
28.99.5;"Parties de machines et d'appareils utilisés uniquement ou principalement pour fabriquer des barreaux ou plaquettes de semi-conducteurs, des dispositifs à semi-conducteur, des circuits intégrés électroniques ou des écrans plats ; parties de machines d'usage spécifique n.c.a."
28.99.9;Opérations sous-traitées intervenant dans la fabrication d'autres machines d'usage spécifique n.c.a.
29.10.1;Moteurs pour véhicules automobiles
29.10.2;Voitures particulières
29.10.3;Autobus et autocars
29.10.4;Véhicules utilitaires pour le transport de marchandises
29.10.5;Véhicules utilitaires spécifiques
29.10.9;Opérations sous-traitées intervenant dans la fabrication de véhicules automobiles
29.20.1;Carrosseries automobiles
29.20.2;"Remorques et semi-remorques ; conteneurs"
29.20.3;Parties de remorques, semi-remorques et autres véhicules, sans propulsion mécanique
29.20.4;Travaux de reconditionnement, de montage, d'équipement et de carrosserie de véhicules automobiles
29.20.5;Aménagement et équipement de caravanes et d'autocaravanes
29.20.9;Opérations sous-traitées intervenant dans la fabrication de carrosseries automobiles et de remorques et semi-remorques
29.31.1;Faisceaux d'allumage et autres jeux de fils pour véhicules, avions et bateaux
29.31.2;Autres équipements électriques automobiles et leurs parties
29.31.3;Parties d'équipements électriques pour véhicules automobiles et motocycles
29.31.9;Opérations sous-traitées intervenant dans la fabrication d'équipements électriques et électroniques automobiles
29.32.1;Sièges pour véhicules automobiles
29.32.2;Ceintures de sécurité, airbags et parties et accessoires de carrosseries
29.32.3;Parties et accessoires n.c.a. pour véhicules automobiles
29.32.9;"Assemblage de parties et accessoires pour véhicules automobiles, n.c.a. ; assemblage de sous-ensembles complets de véhicules automobiles dans le cadre du processus de fabrication ; opérations sous-traitées intervenant dans la fabrication d'autres parties et accessoires pour véhicules automobiles"
30.11.1;Bâtiments de guerre
30.11.2;Navires et vaisseaux similaires pour le transport de passagers et de marchandises
30.11.3;Bateaux de pêche et autres bateaux spéciaux
30.11.4;Plates-formes de forage en mer
30.11.5;Autres structures flottantes (y compris radeaux, caissons, batardeaux, pontons flottants, bouées et balises)
30.11.9;"Transformation, reconstruction et équipement de navires et de plates-formes et structures flottantes ; opérations sous-traitées intervenant dans la fabrication de navires et structures flottantes"
30.12.1;Bateaux de plaisance
30.12.9;Opérations sous-traitées intervenant dans la fabrication de bateaux de plaisance
30.20.1;Motrices et tenders
30.20.2;Automotrices, à l'exclusion des véhicules d'entretien ou de service
30.20.3;Autre matériel ferroviaire roulant
30.20.4;"Parties de matériel de traction et de matériel roulant ; châssis et accessoires et leurs parties ; équipements de contrôle mécaniques"
30.20.9;"Reconditionnement et équipement de matériel ferroviaire roulant ; opérations sous-traitées intervenant dans la fabrication de matériel ferroviaire roulant"
30.30.1;Moteurs pour aéronefs et engins spatiaux, simulateurs de vol, et leurs parties
30.30.2;"Ballons et dirigeables ; planeurs, ailes delta et autres aéronefs sans moteur"
30.30.3;Avions et hélicoptères
30.30.4;Engins spatiaux (y compris satellites) et lanceurs
30.30.5;Autres parties des aéronefs et engins spatiaux
30.30.6;Révision et transformation d'aéronefs et de moteurs d'aéronefs
30.30.9;Opérations sous-traitées intervenant dans la fabrication d'aéronefs et engins spatiaux
30.40.1;Chars et autres véhicules blindés de combat, et leurs parties
30.40.9;Opérations sous-traitées intervenant dans la fabrication de véhicules militaires de combat
30.91.1;Motocycles et side-cars
30.91.2;Parties et accessoires pour motocycles et side-cars
30.91.3;Moteurs à explosion pour motocycles
30.91.9;Opérations sous-traitées intervenant dans la fabrication de motocycles
30.92.1;Bicyclettes et autres cycles, non motorisés
30.92.2;Véhicules pour invalides, à l'exclusion des parties et accessoires
30.92.3;Parties et accessoires pour bicyclettes et autres cycles non motorisés et pour véhicules pour invalides
30.92.4;Landaus et poussettes, et leurs parties
30.92.9;Opérations sous-traitées intervenant dans la fabrication de cycles et véhicules pour invalides
30.99.1;Autres équipements de transport n.c.a.
30.99.9;Opérations sous-traitées intervenant dans la fabrication d'autres équipements de transport n.c.a.
31.00.1;Sièges et leurs parties
31.00.2;Parties de meubles (à l'exclusion des sièges)
31.00.9;"Garnissage de sièges ; opérations sous-traitées intervenant dans la fabrication de sièges, de leurs parties et de parties de meubles"
31.01.1;Meubles de bureau et de magasin
31.01.9;Opérations sous-traitées intervenant dans la fabrication de meubles de bureau et de magasin
31.02.1;Meubles de cuisine
31.02.9;Opérations sous-traitées intervenant dans la fabrication de meubles de cuisine
31.03.1;Sommiers et matelas
31.03.9;Opérations sous-traitées intervenant dans la fabrication de sommiers et matelas
31.09.1;Autres meubles
31.09.9;"Finition de meubles neufs ; opérations sous-traitées intervenant dans la fabrication d'autres meubles"
32.11.1;Monnaies
32.11.9;Opérations sous-traitées intervenant dans la fabrication de monnaies
32.12.1;Articles de joaillerie et bijouterie
32.12.9;Opérations sous-traitées intervenant dans la fabrication d'articles de joaillerie et de bijouterie
32.13.1;Articles de bijouterie fantaisie et articles similaires
32.13.9;Opérations sous-traitées intervenant dans la fabrication d'articles de bijouterie fantaisie et d'articles similaires
32.20.1;"Pianos, orgues et autres instruments de musique à cordes et à vent ; claviers ; métronomes et diapasons ; mécanismes de boîtes à musique"
32.20.2;Parties et accessoires d'instruments de musique
32.20.9;Opérations sous-traitées intervenant dans la fabrication d'instruments de musique
32.30.1;Articles de sport
32.30.9;Opérations sous-traitées intervenant dans la fabrication d'articles de sports
32.40.1;"Poupées représentant uniquement des êtres humains ; jouets représentant des animaux ou des créatures non humaines ; et leurs parties"
32.40.2;"Trains-jouets et accessoires ; autres modèles réduits et jeux de construction"
32.40.3;Autres jouets, y compris jouets musicaux
32.40.4;Autres jeux
32.40.9;Opérations sous-traitées intervenant dans la fabrication de jeux et jouets
32.50.1;Instruments et appareils médicaux, chirurgicaux et dentaires
32.50.2;"Instruments et appareils thérapeutiques ; accessoires, prothèses et appareils orthopédiques"
32.50.3;"Articles médicaux, chirurgicaux, dentaires ou vétérinaires ; fauteuils de coiffeurs et sièges similaires, et leurs parties"
32.50.4;Lunettes, verres et lentilles, et leurs parties
